ORD;LOGRADOURO;NÚMERO;id_imovel;ZONA;TIPO;STATUS;COMPLEMENTO;RISCO;bairro;PROCESSO;EDITAL;FOTO;LONGITUDE;LATITUDE
346;Rua Magalhães Filho;S/Nº;Rua Magalhães Filho, Número S/Nº (Ao lado do nº 165), Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Ao lado do nº 165);;Centro;00027.005818/2024-04;180-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-180-2024.jpg;-42,8083072;-5,086218958
282;Rua 7 de Setembro;242;Rua 7 de Setembro, Número 242 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005767/2024-11;135-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-135-2024.jpg;-42,81164731;-5,092309679
348;Rua Magalhães Filho;672;Rua Magalhães Filho, Número 672 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005819/2024-41;181-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-181-2024.jpg;-42,80540739;-5,091916736
297;Rua 24 de Janeiro;422;Rua 24 de Janeiro, Número 422 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005777/2024-48;140-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-140-2024.jpg;-42,80960548;-5,094079066
356;Rua Coelho de Resende;686;Rua Coelho de Resende, Número 686 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005829/2024-86;189-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-189-2024.jpg;-42,80489508;-5,09180724
310;Rua Gabriel Ferreira;440;Rua Gabriel Ferreira, Número 440 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005783/2024-03;146-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-146-2024.jpg;-42,81244216;-5,086753635
386;Rua São João;1216;Rua São João, Número 1216 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005851/2024-26;211-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-211-2024.jpg;-42,81111631;-5,096497016
313;Rua Gabriel Ferreira;664;Rua Gabriel Ferreira, Número 664 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005786/2024-39;149-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-149-2024.jpg;-42,80846379;-5,094877327
351;Rua Coelho de Resende;303;Rua Coelho de Resende, Número 303 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005823/2024-17;184-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-184-2024.jpg;-42,80895491;-5,083295899
371;Rua Santa Luzia;1274;Rua Santa Luzia, Número 1274 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005842/2024-35;202-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-202-2024.jpg;-42,81103083;-5,097517131
252;Rua Barroso;S/ Nº;Rua Barroso, Número S/ Nº (Em frente ao nº 1366), Bairro Centro - Teresina/PI;Norte;Terreno;Abandonado;(Em frente ao nº 1366);;Centro;00027.005726/2024-16;114-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-114-2024.jpg;-42,81965464;-5,080841148
381;Rua Santa Luzia;1664;Rua Santa Luzia, Número 1664 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005847/2024-68;207-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-207-2024.jpg;-42,80752138;-5,096258895
366;Rua Des. Pires de Castro;S/Nº;Rua Des. Pires de Castro, Número S/Nº (Ao lado do nº 519), Bairro Centro - Teresina/PI;Norte;Terreno;Abandonado;(Ao lado do nº 519);;Centro;00027.005838/2024-77;198-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-198-2024.jpg;-42,80714317;-5,085088484
